Location,Issue,Suggestion,Demo Usage,Type
/api/notifications,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/notifications"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/auth/admin-login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/auth/admin-login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/clients/locations,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/clients/locations"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/clients/bulk-upload,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/clients/bulk-upload"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/backups,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/backups"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/logout,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/logout"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-dates/reminders,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-dates/reminders"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/mnt/data/SecureBond_extracted/SecureBond/test-geolocation.js,Generic Error Logging,Avoid generic logs; use structured logging or error tracking.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/test-geolocation.js,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/test-geolocation.js,Insecure HTTP,Use HTTPS instead of HTTP for secure data transmission.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/courtReminderService.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/courtScraper.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/index.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/local-db-corrupted.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/routes.ts,Generic Error Logging,Avoid generic logs; use structured logging or error tracking.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/routes.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/vite.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/performance.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/middleware/securityAudit.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/routes/admin.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/routes/dashboard.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/services/arrestLogScraper.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/services/geolocationService.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/services/notificationService.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/services/sendgrid.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/utils/auditLogger.ts,Generic Error Logging,Avoid generic logs; use structured logging or error tracking.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/utils/auditLogger.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/utils/locationTracker.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/utils/logger.ts,Generic Error Logging,Avoid generic logs; use structured logging or error tracking.,,Code Smell / Security Warning
/mnt/data/SecureBond_extracted/SecureBond/server/utils/logger.ts,Direct Console Use,Remove or replace with a logging utility.,,Code Smell / Security Warning
SecureBond/client/src/hooks/use-toast,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/hooks/useErrorContext,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/hooks/usePrivacyAcknowledgment,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/hooks/useTermsStatus,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/lib/api,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/lib/authUtils,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/lib/types,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/client/src/lib/utils,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/db,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/index,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/local-db-corrupted,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/routes/admin,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/services/arrestLogScraper,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/server/utils/locationTracker,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
SecureBond/shared/schema,Module not imported or linked across client/server/shared,Verify whether this file is obsolete or needs to be integrated,,Unlinked Module
Deployment Readiness,"Unlinked endpoints, modules, and code quality issues may break tenant app","Integrate missing frontend API calls, refactor unlinked modules, remove insecure patterns, and run production build/test suite (`npm run build`, `tsc --noEmit`).","// To test the tenant app build
npm install
npm run build
npm run preview

// To check for TypeScript and linking errors
tsc --noEmit",Deployment Risk
